APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
B->D->A                C               1      33.33%    15.47%    2.1542
B->D->A                D               0       0.00%    18.43%    0.0000
B->D->A                N               2      66.67%    56.88%    1.1720
B->D->B                A               0       0.00%     0.51%    0.0000
B->D->B                B               2       5.88%     8.70%    0.6758
B->D->B                C              13      38.24%    15.47%    2.4710
B->D->B                D               3       8.82%    18.43%    0.4789
B->D->B                N              16      47.06%    56.88%    0.8273
B->D->C                A               0       0.00%     0.51%    0.0000
B->D->C                B              16      19.05%     8.70%    2.1884
B->D->C                C              28      33.33%    15.47%    2.1542
B->D->C                D              10      11.90%    18.43%    0.6461
B->D->C                N              30      35.71%    56.88%    0.6279
B->D->D                A               0       0.00%     0.51%    0.0000
B->D->D                B               6      19.35%     8.70%    2.2237
B->D->D                C              10      32.26%    15.47%    2.0847
B->D->D                D               4      12.90%    18.43%    0.7003
B->D->D                N              11      35.48%    56.88%    0.6238
B->D->N                A               0       0.00%     0.51%    0.0000
B->D->N                B              40      16.60%     8.70%    1.9069
B->D->N                C              60      24.90%    15.47%    1.6089
B->D->N                D              39      16.18%    18.43%    0.8782
B->D->N                N             102      42.32%    56.88%    0.7440
B->N->A                A               0       0.00%     0.51%    0.0000
B->N->A                B               1      20.00%     8.70%    2.2978
B->N->A                C               2      40.00%    15.47%    2.5850
B->N->A                D               1      20.00%    18.43%    1.0854
B->N->A                N               1      20.00%    56.88%    0.3516
B->N->B                A               0       0.00%     0.51%    0.0000
B->N->B                B              15      13.64%     8.70%    1.5667
B->N->B                C              31      28.18%    15.47%    1.8213
B->N->B                D              17      15.45%    18.43%    0.8387
B->N->B                N              47      42.73%    56.88%    0.7511
B->N->C                A               1       0.40%     0.51%    0.7730
B->N->C                B              38      15.08%     8.70%    1.7325
B->N->C                C              83      32.94%    15.47%    2.1286
B->N->C                D              41      16.27%    18.43%    0.8830
B->N->C                N              89      35.32%    56.88%    0.6209
B->N->D                A               2       0.64%     0.51%    1.2488
B->N->D                B              40      12.82%     8.70%    1.4730
B->N->D                C              90      28.85%    15.47%    1.8642
B->N->D                D              40      12.82%    18.43%    0.6958
B->N->D                N             140      44.87%    56.88%    0.7888
B->N->N                A               3       0.37%     0.51%    0.7215
B->N->N                B              99      12.22%     8.70%    1.4042
B->N->N                C             262      32.35%    15.47%    2.0904
B->N->N                D             145      17.90%    18.43%    0.9715
B->N->N                N             301      37.16%    56.88%    0.6533
C->A->B                A               0       0.00%     0.51%    0.0000
C->A->B                B               0       0.00%     8.70%    0.0000
C->A->B                C               1      20.00%    15.47%    1.2925
C->A->B                D               4      80.00%    18.43%    4.3417
C->A->B                N               0       0.00%    56.88%    0.0000
C->A->C                A               0       0.00%     0.51%    0.0000
C->A->C                B               5      41.67%     8.70%    4.7871
C->A->C                C               4      33.33%    15.47%    2.1542
C->A->C                D               0       0.00%    18.43%    0.0000
C->A->C                N               3      25.00%    56.88%    0.4395
C->A->D                A               0       0.00%     0.51%    0.0000
C->A->D                B               0       0.00%     8.70%    0.0000
C->A->D                C               0       0.00%    15.47%    0.0000
C->A->D                D               1      20.00%    18.43%    1.0854
C->A->D                N               4      80.00%    56.88%    1.4064
C->A->N                A               0       0.00%     0.51%    0.0000
