APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age2 | 5 | 80.00% | 20.00% | 0.5004 | 0.7219 | CompressionProcessing | 80.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age3 | 4 | 50.00% | 50.00% | 0.6931 | 1.0000 | CompressionProcessing | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age4 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | ExhaustionPersistence | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age5 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age6-10 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->ConstructiveEmergence+Age1 | 5 | 0.00% | 100.00% | 0.5004 | 0.7219 | MixedStructure | 80.00% | 0.0000
PreviousDistinctContext | MixedStructure->DecayToNeutral+Age1 | 52 | 0.00% | 100.00% | 0.7193 | 0.6547 | NeutralProcessing | 65.38% | -0.0009
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age1 | 3 | 33.33% | 66.67% | 1.0986 | 1.0000 | DestructiveRotation | 33.33% | 0.0000
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age2 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age3 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age1 | 42 | 23.81% | 76.19% | 1.3623 | 0.8465 | RecoveryResolution | 35.71% | -0.2512
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | 10 | 70.00% | 30.00% | 0.6109 | 0.8813 | ExhaustionPersistence | 70.00% | 0.5187
