APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
MixedStructure | 1 | t+2 | 279 | NeutralProcessing:45.16%, MixedStructure:16.85%, CompressionProcessing:10.75%, DecayToNeutral:8.24%, ReassertionProcessing:6.45%, RecoveryResolution:6.09%, ExhaustionPersistence:4.30%, DestructiveRotation:1.79%, ConstructiveEmergence:0.36% | 16.85% | 83.15% | 1.6795 | 0.7644 | NeutralProcessing | 45.16%
MixedStructure | 1 | t+3 | 279 | NeutralProcessing:32.62%, MixedStructure:18.64%, CompressionProcessing:12.90%, DecayToNeutral:7.89%, ReassertionProcessing:7.89%, RecoveryResolution:7.53%, ExhaustionPersistence:6.81%, DestructiveRotation:4.30%, ConstructiveEmergence:1.43% | 18.64% | 81.36% | 1.9172 | 0.8726 | NeutralProcessing | 32.62%
MixedStructure | 1 | t+5 | 279 | NeutralProcessing:52.69%, CompressionProcessing:15.41%, MixedStructure:9.68%, ExhaustionPersistence:6.09%, ReassertionProcessing:5.73%, RecoveryResolution:5.02%, DecayToNeutral:3.23%, DestructiveRotation:2.15% | 9.68% | 90.32% | 1.5297 | 0.7356 | NeutralProcessing | 52.69%
MixedStructure | 2 | t+1 | 28 | DecayToNeutral:28.57%, NeutralProcessing:25.00%, MixedStructure:17.86%, RecoveryResolution:14.29%, ExhaustionPersistence:10.71%, CompressionProcessing:3.57% | 17.86% | 82.14% | 1.6485 | 0.9200 | DecayToNeutral | 28.57%
MixedStructure | 2 | t+2 | 28 | MixedStructure:28.57%, NeutralProcessing:25.00%, CompressionProcessing:17.86%, RecoveryResolution:10.71%, ConstructiveEmergence:7.14%, ReassertionProcessing:7.14%, ExhaustionPersistence:3.57% | 28.57% | 71.43% | 1.7475 | 0.8980 | MixedStructure | 28.57%
MixedStructure | 2 | t+3 | 28 | MixedStructure:25.00%, NeutralProcessing:25.00%, CompressionProcessing:17.86%, DecayToNeutral:10.71%, ExhaustionPersistence:10.71%, RecoveryResolution:7.14%, ReassertionProcessing:3.57% | 25.00% | 75.00% | 1.7869 | 0.9183 | MixedStructure | 25.00%
MixedStructure | 2 | t+5 | 28 | NeutralProcessing:50.00%, CompressionProcessing:17.86%, ReassertionProcessing:10.71%, MixedStructure:7.14%, RecoveryResolution:7.14%, ConstructiveEmergence:3.57%, DecayToNeutral:3.57% | 7.14% | 92.86% | 1.5085 | 0.7752 | NeutralProcessing | 50.00%
MixedStructure | 3 | t+1 | 5 | ConstructiveEmergence:40.00%, MixedStructure:40.00%, RecoveryResolution:20.00% | 40.00% | 60.00% | 1.0549 | 0.9602 | ConstructiveEmergence | 40.00%
MixedStructure | 3 | t+2 | 5 | MixedStructure:40.00%, NeutralProcessing:40.00%, CompressionProcessing:20.00% | 40.00% | 60.00% | 1.0549 | 0.9602 | MixedStructure | 40.00%
MixedStructure | 3 | t+3 | 5 | NeutralProcessing:40.00%, CompressionProcessing:20.00%, DecayToNeutral:20.00%, ReassertionProcessing:20.00% | 0.00% | 100.00% | 1.3322 | 0.9610 | NeutralProcessing | 40.00%
