APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
5 | Weak -> Core -> Secondary -> Weak -> Core | 12 | 0.45%
5 | Weak -> Secondary -> Insufficient -> Insufficient -> Insufficient | 12 | 0.45%
5 | Weak -> Weak -> Core -> Secondary -> Core | 12 | 0.45%
5 | Secondary -> Weak -> Weak -> Core -> Secondary | 11 | 0.41%
5 | Core -> Secondary -> Core -> Secondary -> Weak | 10 | 0.37%
5 | Core -> Weak -> Core -> Secondary -> Secondary | 10 | 0.37%
5 | Insufficient -> Core -> Weak -> Core -> Secondary | 10 | 0.37%
5 | Insufficient -> Insufficient -> Insufficient -> Core -> Secondary | 10 | 0.37%
5 | Secondary -> Core -> Secondary -> Secondary -> Secondary | 10 | 0.37%
5 | Secondary -> Secondary -> Insufficient -> Core -> Secondary | 10 | 0.37%
5 | Secondary -> Weak -> Core -> Secondary -> Weak | 10 | 0.37%
5 | Weak -> Secondary -> Weak -> Core -> Secondary | 10 | 0.37%
5 | Weak -> Secondary -> Weak -> Secondary -> Insufficient | 10 | 0.37%
5 | Core -> Secondary -> Secondary -> Weak -> Secondary | 9 | 0.34%
5 | Core -> Weak -> Secondary -> Core -> Secondary | 9 | 0.34%
5 | Insufficient -> Insufficient -> Weak -> Core -> Secondary | 9 | 0.34%
5 | Weak -> Core -> Secondary -> Weak -> Secondary | 9 | 0.34%
5 | Weak -> Core -> Weak -> Core -> Secondary | 9 | 0.34%
5 | Weak -> Secondary -> Insufficient -> Insufficient -> Core | 9 | 0.34%
5 | Core -> Core -> Secondary -> Secondary -> Core | 8 | 0.30%
5 | Core -> Core -> Secondary -> Secondary -> Weak | 8 | 0.30%
5 | Core -> Secondary -> Insufficient -> Core -> Secondary | 8 | 0.30%
5 | Core -> Secondary -> Secondary -> Insufficient -> Core | 8 | 0.30%
5 | Core -> Secondary -> Secondary -> Insufficient -> Weak | 8 | 0.30%
5 | Core -> Secondary -> Weak -> Core -> Weak | 8 | 0.30%
5 | Core -> Secondary -> Weak -> Secondary -> Core | 8 | 0.30%
5 | Insufficient -> Insufficient -> Core -> Secondary -> Core | 8 | 0.30%
5 | Insufficient -> Insufficient -> Core -> Weak -> Core | 8 | 0.30%
5 | Insufficient -> Insufficient -> Insufficient -> Insufficient -> Insufficient | 8 | 0.30%
5 | Secondary -> Secondary -> Secondary -> Insufficient -> Insufficient | 8 | 0.30%
5 | Weak -> Insufficient -> Insufficient -> Insufficient -> Insufficient | 8 | 0.30%
5 | Core -> Secondary -> Core -> Secondary -> Insufficient | 7 | 0.26%
5 | Core -> Secondary -> Weak -> Weak -> Core | 7 | 0.26%
5 | Core -> Weak -> Core -> Secondary -> Core | 7 | 0.26%
5 | Insufficient -> Core -> Secondary -> Secondary -> Core | 7 | 0.26%
5 | Insufficient -> Core -> Secondary -> Weak -> Core | 7 | 0.26%
5 | Insufficient -> Insufficient -> Insufficient -> Insufficient -> Core | 7 | 0.26%
5 | Insufficient -> Insufficient -> Weak -> Secondary -> Insufficient | 7 | 0.26%
5 | Secondary -> Core -> Secondary -> Core -> Weak | 7 | 0.26%
5 | Secondary -> Insufficient -> Insufficient -> Core -> Weak | 7 | 0.26%
5 | Secondary -> Insufficient -> Insufficient -> Insufficient -> Insufficient | 7 | 0.26%
5 | Secondary -> Secondary -> Insufficient -> Weak -> Core | 7 | 0.26%
5 | Secondary -> Secondary -> Insufficient -> Weak -> Secondary | 7 | 0.26%
5 | Secondary -> Secondary -> Weak -> Secondary -> Core | 7 | 0.26%
5 | Secondary -> Weak -> Core -> Weak -> Secondary | 7 | 0.26%
