APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
FailurePhase | 0.9546 | 0.9547 | 3.2589 | 0.6758 | 0.9677 | 0.4034 | 0.4974
DestinationPhase | 1.5763 | 1.5764 | 6.5851 | 0.8956 | 1.2806 | 0.5908 | 0.5344
ExcursionPhase | 1.2023 | 1.2025 | 3.8019 | 1.0933 | 1.0853 | 0.5255 | 0.5517
ReturnPhase | 0.8235 | 0.8231 | 0.6084 | 0.8403 | 0.9391 | 0.3733 | 0.5733
NextFormationPhase | 0.8106 | 0.8107 | 1.5104 | 0.6794 | 0.8625 | 0.3864 | 0.5310

10. Loop Energy Curve Table
LoopPhase | RangeEnergy | VolumeEnergy | EfficiencyEnergy
FormationPhase | 0.8424 | 0.7867 | 0.4009
LifecyclePhase | 1.0299 | 0.6521 | 0.3468
LateNeutralPhase | 1.0730 | 0.6449 | 0.4096
FailurePhase | 0.9546 | 0.6758 | 0.4034
DestinationPhase | 1.5763 | 0.8956 | 0.5908
ExcursionPhase | 1.2023 | 1.0933 | 0.5255
ReturnPhase | 0.8235 | 0.8403 | 0.3733
NextFormationPhase | 0.8106 | 0.6794 | 0.3864

11. Loop Duration Class Table
DurationClass | Count | Probability | TopDestination | TopReturnFamily | MeanDuration
ShortLoop | 28 | 24.78% | ReassertionProcessing | ReassertionProcessing | 3.6429
NormalLoop | 59 | 52.21% | ReassertionProcessing | ReassertionProcessing | 10.2712
LongLoop | 26 | 23.01% | MixedStructure | CompressionProcessing | 21.2308

12. Loop Stability Table
PathEntropy | DestinationEntropy | ReturnEntropy | DurationVariance | LoopStabilityClass
0.8854 | 0.6874 | 0.8622 | 46.1101 | DiffuseClosedLoop

13. Loop Failure Point Table
FailureType | Count | LastObservedState | MaxNeutralAgeReached | MarketProfileSummary
IncompleteNoExcursion | 1 | NeutralProcessing | 6-10 | Range/Volume/Eff mean=0.8173
IncompleteNoReturn | 0 | N/A | N/A | Range/Volume/Eff mean=0.0000

14. Cross-Instrument Replication Table
Instrument | CompletionRate | TopCanonicalPath | TopDestination | TopReturnFamily | MeanDuration | LoopStabilityClass

