APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ReassertionProcessing | MemoryStrength | t-5 | 0.2833 | 1 | Positive | 16
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | -0.2641 | 1 | Negative | 17
ReassertionProcessing | EfficiencyRatio | t-2 | 0.2457 | 0 | Positive | 18
ReassertionProcessing | EfficiencyRatio | t-5 | 0.2449 | 0 | Positive | 19
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | -0.2282 | 0 | Negative | 20
ReassertionProcessing | RangeRelativeToPrevious | t-3 | -0.2049 | 0 | Negative | 21
ReassertionProcessing | PolarityFlipFlag | t-1 | -0.2020 | 0 | Negative | 22
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.1981 | 0 | Negative | 23
ReassertionProcessing | BranchEntropy | t-5 | -0.1860 | 0 | Negative | 24
ReassertionProcessing | BodyRelativeToPrevious | t-3 | -0.1693 | 0 | Negative | 25
ReassertionProcessing | BodyRelativeToPrevious | t-5 | -0.1561 | 0 | Negative | 26
ReassertionProcessing | CloseLocation | t-5 | -0.1542 | 0 | Negative | 27
ReassertionProcessing | CloseLocation | t-3 | 0.1428 | 0 | Positive | 28
ReassertionProcessing | RangeRelativeToPrevious | t-2 | -0.1257 | 0 | Negative | 29
