Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Reference,DatasetRegime,122017,2017,NQ,13,-0.2649742822489356,-0.3442622950819672,0.6780722569708637,-3.4446656692361626,0.38461538461538464,-0.10933883311273807,0.045451611671373245,True,22
CCRRR,Reference,DatasetRegime,122022,2022,NQ,2,-2.0,-2.0,0.0,-4.0,0.0,-0.12696597418928426,0.05277912695829423,True,23
CCRRR,Reference,YearAggregate,CanonicalOriginal,CanonicalOriginal,ES,20,0.8344958734504289,0.3152249670874312,3.3570197090080245,16.689917469008577,0.65,0.5297629076478569,0.26571837473133764,False,1
CCRRR,Reference,YearAggregate,CanonicalOriginal,CanonicalOriginal,NQ,109,0.12401878162534753,0.1201716738197424,1.217731926716528,13.51804719716288,0.5137614678899083,0.42908300788112724,0.21521937046372994,False,2
CCRRR,Reference,YearAggregate,2023,2023,NQ,6,0.87154878550938,0.7972660967914088,2.833070890915873,5.22929271305628,0.6666666666666666,0.16598556090852898,0.08325500490268649,False,3
CCRRR,Reference,YearAggregate,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.15074549991567715,0.0756108981157333,False,4
CCRRR,Reference,YearAggregate,2024,2024,NQ,3,0.9163873851844405,0.4726065301604869,2.3745810777766607,2.7491621555533214,0.6666666666666666,0.08726251282103503,0.04376911396973631,False,5
CCRRR,Reference,YearAggregate,2020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.07822561774613153,0.039236389920439235,False,6
CCRRR,Reference,YearAggregate,2022,2022,ES,4,0.4363572143035759,0.9773655913978495,1.8727144286071518,1.7454288572143035,0.75,0.0554025188085758,0.027788784456806017,False,7
CCRRR,Reference,YearAggregate,2021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0003827204006662641,0.00019196482308113036,False,8
CCRRR,Reference,YearAggregate,2017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.003789665118561968,0.0019008194827216719,True,9
CCRRR,Reference,YearAggregate,2019,2019,ES,3,-0.29434202161474887,0.5384615384615384,0.5584869675778767,-0.8830260648442466,0.6666666666666666,-0.028028566139369968,0.014058562676029816,True,10
